processing_batch	read	candidate_truncation_length	n_fastq_at_position	median_mean_quality	p10_mean_quality	median_lower_quartile_quality	p10_lower_quartile_quality	pct_fastq_mean_quality_ge_30	pct_fastq_lower_quartile_ge_20	median_reads_length_ge_candidate_pct	p10_reads_length_ge_candidate_pct
current	R1	100	152	38.001231	37.673146	40.000000	40.000000	100.000000	100.000000	98.435824	96.767203
current	R1	150	152	37.785548	37.207874	40.000000	40.000000	100.000000	100.000000	97.011686	93.222720
current	R1	180	152	37.791408	37.229196	40.000000	40.000000	100.000000	100.000000	96.045241	89.252841
current	R1	190	152	37.712337	37.110860	40.000000	40.000000	100.000000	100.000000	95.572197	87.915141
current	R1	200	152	37.843993	37.209706	40.000000	40.000000	100.000000	100.000000	95.015174	85.869247
current	R1	210	152	37.918086	37.216021	40.000000	40.000000	100.000000	100.000000	94.369643	83.901065
current	R1	220	152	37.793126	37.116141	40.000000	40.000000	100.000000	100.000000	93.731974	82.038051
current	R1	230	152	37.643522	36.973195	40.000000	40.000000	100.000000	100.000000	92.926018	79.133562
current	R1	240	152	37.500155	36.794607	40.000000	40.000000	100.000000	100.000000	92.540936	78.149959
current	R1	250	152	37.425255	36.468589	40.000000	40.000000	100.000000	100.000000	89.378088	73.241595
current	R1	260	152	37.187188	36.259417	40.000000	40.000000	100.000000	100.000000	86.291658	67.588861
current	R1	270	152	37.159785	36.112379	40.000000	40.000000	100.000000	100.000000	85.148492	65.186072
current	R1	280	152	36.948004	35.772601	40.000000	40.000000	100.000000	100.000000	84.738253	64.524475
current	R2	100	152	36.310176	35.313241	40.000000	36.800000	100.000000	100.000000	98.489457	96.815533
current	R2	150	152	36.269218	35.465033	40.000000	36.800000	100.000000	100.000000	97.245042	93.859848
current	R2	180	152	36.739627	35.925063	40.000000	40.000000	100.000000	100.000000	96.324641	90.175137
current	R2	190	152	35.712962	35.103941	36.800000	33.600000	100.000000	100.000000	96.059140	88.845530
current	R2	200	152	35.511171	34.799528	40.000000	30.400000	100.000000	100.000000	95.627697	87.724202
current	R2	210	152	35.720929	34.756097	40.000000	27.520000	100.000000	100.000000	95.063047	85.889048
current	R2	220	152	35.425386	34.512592	36.800000	24.000000	100.000000	100.000000	94.415328	83.509022
current	R2	230	152	35.462544	34.634598	36.800000	27.200000	100.000000	100.000000	93.404264	80.297928
current	R2	240	152	34.718154	33.766483	27.200000	24.000000	100.000000	100.000000	92.815190	78.806400
current	R2	250	152	34.806905	33.631820	33.600000	24.000000	100.000000	100.000000	91.842230	76.812622
current	R2	260	152	34.462159	33.255075	27.200000	24.000000	100.000000	100.000000	91.322793	75.050214
current	R2	270	152	34.277688	32.661988	24.000000	24.000000	100.000000	100.000000	88.228422	70.865947
current	R2	280	152	33.924891	32.125650	24.000000	24.000000	100.000000	100.000000	80.428175	63.313896
pilot	R1	100	46	38.765863	37.569387	40.000000	40.000000	100.000000	100.000000	94.305718	54.589459
pilot	R1	150	46	39.026591	38.232224	40.000000	40.000000	100.000000	100.000000	93.568897	53.780837
pilot	R1	180	46	38.608800	37.514880	40.000000	40.000000	100.000000	100.000000	92.838100	50.425908
pilot	R1	190	46	38.911079	37.868306	40.000000	40.000000	100.000000	100.000000	92.722744	49.360818
pilot	R1	200	46	38.741906	37.584749	40.000000	40.000000	100.000000	100.000000	92.596178	48.716579
pilot	R1	210	46	38.813491	37.370090	40.000000	40.000000	100.000000	100.000000	92.350051	47.809738
pilot	R1	220	46	38.664585	37.288933	40.000000	40.000000	100.000000	100.000000	92.089569	47.702717
pilot	R1	230	46	38.818899	37.331291	40.000000	40.000000	100.000000	100.000000	91.360190	47.600184
pilot	R1	240	46	38.700912	37.246124	40.000000	40.000000	100.000000	100.000000	91.281461	47.469001
pilot	R1	250	46	38.582857	37.128022	40.000000	40.000000	100.000000	100.000000	91.150321	46.393047
pilot	R1	260	46	38.306892	36.039663	40.000000	40.000000	100.000000	100.000000	90.924557	44.932032
pilot	R1	270	46	38.533096	36.641518	40.000000	40.000000	100.000000	100.000000	90.453527	44.822555
pilot	R1	280	46	38.009987	36.255818	40.000000	40.000000	100.000000	100.000000	90.180591	44.298242
pilot	R2	100	46	37.689953	36.949811	40.000000	36.800000	100.000000	100.000000	94.258896	54.333109
pilot	R2	150	46	38.494669	37.123184	40.000000	40.000000	100.000000	100.000000	93.527863	54.036102
pilot	R2	180	46	37.913044	37.212465	40.000000	40.000000	100.000000	100.000000	92.870804	51.797370
pilot	R2	190	46	36.884723	35.615272	36.800000	36.800000	100.000000	100.000000	92.718414	51.338643
pilot	R2	200	46	37.362984	36.122151	40.000000	40.000000	100.000000	100.000000	92.611094	49.348048
pilot	R2	210	46	37.528223	36.021422	40.000000	40.000000	100.000000	100.000000	92.461264	48.121416
pilot	R2	220	46	36.873705	35.810960	40.000000	38.400000	100.000000	100.000000	92.167901	47.923960
pilot	R2	230	46	36.341567	34.188878	36.800000	28.800000	100.000000	100.000000	91.557417	47.808229
pilot	R2	240	46	36.512180	34.171273	40.000000	24.000000	100.000000	100.000000	91.396129	47.769442
pilot	R2	250	46	36.479352	34.559705	36.800000	30.400000	100.000000	100.000000	91.313706	46.743822
pilot	R2	260	46	35.886393	33.882549	36.800000	24.000000	100.000000	100.000000	91.161454	45.958270
pilot	R2	270	46	36.196680	33.745717	36.800000	27.200000	100.000000	100.000000	90.974297	45.853892
pilot	R2	280	46	34.008975	31.483643	30.400000	24.000000	100.000000	100.000000	70.713524	38.379679
