method	processing_batch	rank	total_asvs	taxonomy_evaluable_asvs	below_minimum_length_asvs	assigned_asvs	assigned_asv_pct_of_evaluable	total_reads	taxonomy_evaluable_reads	assigned_reads	assigned_read_pct_of_all	assigned_read_pct_of_evaluable	bootstrap_p10	bootstrap_median	bootstrap_p90
sequence_anchored	pilot	Kingdom	8247	8245	2	7127	86.4402668283808	12668795	12668288	12440684	98.1994262279877	98.2033562861848	59	100	100
sequence_anchored	pilot	Phylum	8247	8245	2	4727	57.3317161916313	12668795	12668288	11809411	93.2165292752783	93.2202599119944	73	100	100
sequence_anchored	pilot	Class	8247	8245	2	4626	56.1067313523347	12668795	12668288	11790613	93.0681489439209	93.0718736422791	85	100	100
sequence_anchored	pilot	Order	8247	8245	2	4607	55.8762886597938	12668795	12668288	11788740	93.0533645859768	93.0570886926473	82	100	100
sequence_anchored	pilot	Family	8247	8245	2	4489	54.445118253487	12668795	12668288	11716535	92.4834208778341	92.4871221746774	76	100	100
sequence_anchored	pilot	Genus	8247	8245	2	3773	45.7610673135233	12668795	12668288	11386094	89.875114405119	89.8787113144254	71	99	100
sequence_anchored	pilot	Species	8247	8245	2	233	2.82595512431777	12668795	12668288	3335251	26.3265054016582	26.3275590198139	NA	NA	NA
sequence_anchored	current	Kingdom	7986	7986	0	7304	91.4600550964187	8400946	8400946	8163322	97.1714614044656	97.1714614044656	67	100	100
sequence_anchored	current	Phylum	7986	7986	0	6060	75.8827948910593	8400946	8400946	7544041	89.7998987256911	89.7998987256911	83	100	100
sequence_anchored	current	Class	7986	7986	0	5984	74.931129476584	8400946	8400946	7494469	89.2098223223908	89.2098223223908	83	100	100
sequence_anchored	current	Order	7986	7986	0	5927	74.2173804157275	8400946	8400946	7492236	89.1832419825101	89.1832419825101	79	100	100
sequence_anchored	current	Family	7986	7986	0	5673	71.0368144252442	8400946	8400946	7438722	88.5462422922371	88.5462422922371	72	100	100
sequence_anchored	current	Genus	7986	7986	0	4597	57.5632356624092	8400946	8400946	6306613	75.0702718479562	75.0702718479562	68	100	100
sequence_anchored	current	Species	7986	7986	0	356	4.45780115201603	8400946	8400946	2516759	29.9580428204157	29.9580428204157	NA	NA	NA
fixed_17_21	pilot	Kingdom	22252	22248	4	17486	78.5958288385473	16364693	16362844	15522524	94.8537439718545	94.86446243697	57	81	100
fixed_17_21	pilot	Phylum	22252	22248	4	8148	36.6235167206041	16364693	16362844	13860571	84.6980203050555	84.7075911742482	60	100	100
fixed_17_21	pilot	Class	22252	22248	4	7832	35.2031643293779	16364693	16362844	13772253	84.1583340426857	84.167843927376	62	100	100
fixed_17_21	pilot	Order	22252	22248	4	7772	34.9334771664869	16364693	16362844	13767019	84.1263505523752	84.1358568229337	62	100	100
fixed_17_21	pilot	Family	22252	22248	4	7644	34.3581445523193	16364693	16362844	13687469	83.6402430525278	83.6496943929796	62	100	100
fixed_17_21	pilot	Genus	22252	22248	4	5902	26.5282272563826	16364693	16362844	13067324	79.8507127509205	79.859735874766	92	100	100
fixed_17_21	pilot	Species	22252	22248	4	304	1.36641495864797	16364693	16362844	3962696	24.2149119448804	24.2176482278997	NA	NA	NA
fixed_17_21	current	Kingdom	37739	37736	3	31653	83.8801144795421	20311987	20308600	18972965	93.4077252018722	93.4233034281043	58	100	100
fixed_17_21	current	Phylum	37739	37736	3	18788	49.7880008479966	20311987	20308600	15531105	76.4627557116889	76.4755079129039	64	100	100
fixed_17_21	current	Class	37739	37736	3	18350	48.627305490778	20311987	20308600	15485784	76.2396313073654	76.2523462966428	65	100	100
fixed_17_21	current	Order	37739	37736	3	18043	47.813758744965	20311987	20308600	15475286	76.1879475405336	76.2006539101661	64	100	100
fixed_17_21	current	Family	37739	37736	3	17128	45.3890184439262	20311987	20308600	15354148	75.591560786249	75.6041676925047	62	100	100
fixed_17_21	current	Genus	37739	37736	3	12500	33.12486750053	20311987	20308600	12718299	62.6147456671767	62.6251883438543	64	100	100
fixed_17_21	current	Species	37739	37736	3	563	1.49194403222387	20311987	20308600	4864962	23.9511870502871	23.9551815487035	NA	NA	NA
