analysis_branch	processing_batch	rank	total_asvs	taxonomy_evaluable_asvs	below_minimum_length_asvs	assigned_asvs	assigned_asv_pct_of_evaluable	total_reads	taxonomy_evaluable_reads	assigned_reads	assigned_read_pct_of_all	assigned_read_pct_of_evaluable	bootstrap_p10	bootstrap_median	bootstrap_p90
sequence_anchored_strict	pilot	Kingdom	15219	15217	2	13450	88.3879871196688	12508730	12508256	12283391	98.198546135379	98.2022673664498	62	100	100
sequence_anchored_strict	pilot	Phylum	15219	15217	2	9884	64.9536702372347	12508730	12508256	11676289	93.3451197683538	93.3486570789725	77	100	100
sequence_anchored_strict	pilot	Class	15219	15217	2	9720	63.8759282381547	12508730	12508256	11634717	93.0127758773273	93.0163005937838	81	100	100
sequence_anchored_strict	pilot	Order	15219	15217	2	9653	63.4356312019452	12508730	12508256	11633550	93.0034463930391	93.0069707559551	77	100	100
sequence_anchored_strict	pilot	Family	15219	15217	2	9330	61.3130051915621	12508730	12508256	11561280	92.4256898981751	92.4291923670254	72	100	100
sequence_anchored_strict	pilot	Genus	15219	15217	2	7627	50.1215745547743	12508730	12508256	11238008	89.8413188229341	89.8447233571171	68.6	100	100
sequence_anchored_strict	pilot	Species	15219	15217	2	411	2.70092659525531	12508730	12508256	3302426	26.4009695628573	26.4019700268367	NA	NA	NA
sequence_anchored_strict	current	Kingdom	15219	15217	2	13450	88.3879871196688	7950284	7950284	7697103	96.815447095978	96.815447095978	62	100	100
sequence_anchored_strict	current	Phylum	15219	15217	2	9884	64.9536702372347	7950284	7950284	7136277	89.7612839994144	89.7612839994144	77	100	100
sequence_anchored_strict	current	Class	15219	15217	2	9720	63.8759282381547	7950284	7950284	7126659	89.6403071890262	89.6403071890262	81	100	100
sequence_anchored_strict	current	Order	15219	15217	2	9653	63.4356312019452	7950284	7950284	7123382	89.5990885357051	89.5990885357051	77	100	100
sequence_anchored_strict	current	Family	15219	15217	2	9330	61.3130051915621	7950284	7950284	7078218	89.0310082004618	89.0310082004618	72	100	100
sequence_anchored_strict	current	Genus	15219	15217	2	7627	50.1215745547743	7950284	7950284	5936306	74.6678483435309	74.6678483435309	68.6	100	100
sequence_anchored_strict	current	Species	15219	15217	2	411	2.70092659525531	7950284	7950284	2375164	29.8752094893717	29.8752094893717	NA	NA	NA
