field	value
completion_mode	verified_recovery_no_reclassification
taxonomy_assignments_recomputed	FALSE
source_taxonomy_job_id	9559086
source_taxonomy_job_state	FAILED_1:0
source_failure_scope	assignment_completed; only coverage barplot failed before formal closure
source_archive	analysis/archive/20260904_failed_taxonomy_plot_9559086
source_preflight_inventory	analysis/logs/03_taxonomy/taxonomy_selected_strict_preflight_9559086.tsv
recovery_preflight_inventory	analysis/logs/03_taxonomy/taxonomy_selected_strict_preflight_9560462.tsv
recovery_job_id	9560462
recovery_script	analysis/scripts/03_taxonomy/56_finalize_recovered_selected_strict_taxonomy.R
