registro_tecnico	fastq_r1	fastq_r2	ensayo	hoja_metadatos	tipo_muestra	tipo_control	dilucion	fecha_extraccion	fecha_biblioteca	fecha_secuenciacion	origen_fecha_secuenciacion	carrera	set_indices	indice_i7	indice_i5
01-049	01-049_R1.fastq.gz	01-049_R2.fastq.gz	Ensayo ampliado actual	Run 3	Biopsia	—	—	2026-01-22	2026-07-30	2026-07-30	Fecha de biblioteca (proxy)	Run 3	C	N701	S513
01-049_carpio1	01-049_carpio1_R1.fastq.gz	01-049_carpio1_R2.fastq.gz	Ensayo previo/piloto	Run1	Biopsia	—	—	2026-01-22	—	2026-01-22	Etiqueta de origen	Ensayo previo/piloto	—	N701	S521
01-050	01-050_R1.fastq.gz	01-050_R2.fastq.gz	Ensayo ampliado actual	Run 3	Biopsia	—	—	2026-01-22	2026-07-30	2026-07-30	Fecha de biblioteca (proxy)	Run 3	C	N702	S513
01-050_carpio1	01-050_carpio1_R1.fastq.gz	01-050_carpio1_R2.fastq.gz	Ensayo previo/piloto	Run1	Biopsia	—	—	2026-01-22	—	2026-01-22	Etiqueta de origen	Ensayo previo/piloto	—	N702	S521
01-051	01-051_R1.fastq.gz	01-051_R2.fastq.gz	Ensayo ampliado actual	Run 3	Biopsia	—	—	2026-01-22	2026-07-30	2026-07-30	Fecha de biblioteca (proxy)	Run 3	C	N703	S513
01-051_carpio1	01-051_carpio1_R1.fastq.gz	01-051_carpio1_R2.fastq.gz	Ensayo previo/piloto	Run1	Biopsia	—	—	2026-01-22	—	2026-01-22	Etiqueta de origen	Ensayo previo/piloto	—	N703	S521
01-052	01-052_R1.fastq.gz	01-052_R2.fastq.gz	Ensayo ampliado actual	Run 3	Biopsia	—	—	2026-01-22	2026-07-30	2026-07-30	Fecha de biblioteca (proxy)	Run 3	C	N704	S513
01-052_carpio1	01-052_carpio1_R1.fastq.gz	01-052_carpio1_R2.fastq.gz	Ensayo previo/piloto	Run1	Biopsia	—	—	2026-01-22	—	2026-01-22	Etiqueta de origen	Ensayo previo/piloto	—	N704	S521
01-053	01-053_R1.fastq.gz	01-053_R2.fastq.gz	Ensayo ampliado actual	Run 3	Biopsia	—	—	2026-01-22	2026-07-30	2026-07-30	Fecha de biblioteca (proxy)	Run 3	C	N705	S513
01-053_carpio1	01-053_carpio1_R1.fastq.gz	01-053_carpio1_R2.fastq.gz	Ensayo previo/piloto	Run1	Biopsia	—	—	2026-01-22	—	2026-01-22	Etiqueta de origen	Ensayo previo/piloto	—	N705	S521
01-054	01-054_R1.fastq.gz	01-054_R2.fastq.gz	Ensayo ampliado actual	Run 3	Biopsia	—	—	2026-01-22	2026-07-30	2026-07-30	Fecha de biblioteca (proxy)	Run 3	C	N706	S513
01-054_carpio1	01-054_carpio1_R1.fastq.gz	01-054_carpio1_R2.fastq.gz	Ensayo previo/piloto	Run1	Biopsia	—	—	2026-01-22	—	2026-01-22	Etiqueta de origen	Ensayo previo/piloto	—	N706	S521
01-055	01-055_R1.fastq.gz	01-055_R2.fastq.gz	Ensayo ampliado actual	Run 3	Biopsia	—	—	2026-01-22	2026-07-30	2026-07-30	Fecha de biblioteca (proxy)	Run 3	C	N707	S513
01-055_carpio1	01-055_carpio1_R1.fastq.gz	01-055_carpio1_R2.fastq.gz	Ensayo previo/piloto	Run1	Biopsia	—	—	2026-01-22	—	2026-01-22	Etiqueta de origen	Ensayo previo/piloto	—	N707	S521
01-056	01-056_R1.fastq.gz	01-056_R2.fastq.gz	Ensayo ampliado actual	Run 3	Biopsia	—	—	2026-01-22	2026-07-30	2026-07-30	Fecha de biblioteca (proxy)	Run 3	C	N710	S513
01-056_carpio1	01-056_carpio1_R1.fastq.gz	01-056_carpio1_R2.fastq.gz	Ensayo previo/piloto	Run1	Biopsia	—	—	2026-01-22	—	2026-01-22	Etiqueta de origen	Ensayo previo/piloto	—	N710	S521
01-057	01-057_R1.fastq.gz	01-057_R2.fastq.gz	Ensayo ampliado actual	Run 3	Biopsia	—	—	2026-01-22	2026-07-30	2026-07-30	Fecha de biblioteca (proxy)	Run 3	C	N711	S513
