record_id	assay_id	metadata_sheet	source_sample_label	source_library_id	sample_id	sample_type	control_type	dilution	extraction_date	library_date	sequencing_date	sequencing_date_basis	sequencing_run	index_set	index_forward	index_reverse	extraction_concentration	pcr_concentration	pcr_tapestation	library_concentration	library_tapestation	fastq_id	fastq_r1	fastq_r2
carpio1__01-049__2026-01-22__2026-01-22	carpio1	run1	01-049_22012026	b1_v3v4	01-049	biopsy	NA	NA	2026-01-22	NA	2026-01-22	source_label_date	carpio1	NA	NA	NA	NA	NA	NA	NA	NA	01-049_carpio1	data/raw_data/01-049_carpio1_R1.fastq.gz	data/raw_data/01-049_carpio1_R2.fastq.gz
carpio1__01-050__2026-01-22__2026-01-22	carpio1	run1	01-050_22012026	b2_v3v4	01-050	biopsy	NA	NA	2026-01-22	NA	2026-01-22	source_label_date	carpio1	NA	NA	NA	NA	NA	NA	NA	NA	01-050_carpio1	data/raw_data/01-050_carpio1_R1.fastq.gz	data/raw_data/01-050_carpio1_R2.fastq.gz
carpio1__01-051__2026-01-22__2026-01-22	carpio1	run1	01-051_22012026	b3_v3v4	01-051	biopsy	NA	NA	2026-01-22	NA	2026-01-22	source_label_date	carpio1	NA	NA	NA	NA	NA	NA	NA	NA	01-051_carpio1	data/raw_data/01-051_carpio1_R1.fastq.gz	data/raw_data/01-051_carpio1_R2.fastq.gz
carpio1__01-052__2026-01-22__2026-01-22	carpio1	run1	01-052_22012026	b4_v3v4	01-052	biopsy	NA	NA	2026-01-22	NA	2026-01-22	source_label_date	carpio1	NA	NA	NA	NA	NA	NA	NA	NA	01-052_carpio1	data/raw_data/01-052_carpio1_R1.fastq.gz	data/raw_data/01-052_carpio1_R2.fastq.gz
carpio1__01-053__2026-01-22__2026-01-22	carpio1	run1	01-053_22012026	b5_v3v4	01-053	biopsy	NA	NA	2026-01-22	NA	2026-01-22	source_label_date	carpio1	NA	NA	NA	NA	NA	NA	NA	NA	01-053_carpio1	data/raw_data/01-053_carpio1_R1.fastq.gz	data/raw_data/01-053_carpio1_R2.fastq.gz
carpio1__01-054__2026-01-22__2026-01-22	carpio1	run1	01-054_22012026	b6_v3v4	01-054	biopsy	NA	NA	2026-01-22	NA	2026-01-22	source_label_date	carpio1	NA	NA	NA	NA	NA	NA	NA	NA	01-054_carpio1	data/raw_data/01-054_carpio1_R1.fastq.gz	data/raw_data/01-054_carpio1_R2.fastq.gz
carpio1__01-055__2026-01-22__2026-01-22	carpio1	run1	01-055_22012026	b7_v3v4	01-055	biopsy	NA	NA	2026-01-22	NA	2026-01-22	source_label_date	carpio1	NA	NA	NA	NA	NA	NA	NA	NA	01-055_carpio1	data/raw_data/01-055_carpio1_R1.fastq.gz	data/raw_data/01-055_carpio1_R2.fastq.gz
carpio1__01-056__2026-01-22__2026-01-22	carpio1	run1	01-056_22012026	b8_v3v4	01-056	biopsy	NA	NA	2026-01-22	NA	2026-01-22	source_label_date	carpio1	NA	NA	NA	NA	NA	NA	NA	NA	01-056_carpio1	data/raw_data/01-056_carpio1_R1.fastq.gz	data/raw_data/01-056_carpio1_R2.fastq.gz
carpio1__mock_extr_1__2026-01-22__2026-01-22	carpio1	run1	CPosCarpio200-1500_22012026	me1_v3v4	mock_extr_1	positive_control	mock_extraction	NA	2026-01-22	NA	2026-01-22	source_label_date	carpio1	NA	NA	NA	NA	NA	NA	NA	NA	mock_extr_1	data/raw_data/mock_extr_1_R1.fastq.gz	data/raw_data/mock_extr_1_R2.fastq.gz
carpio1__mock_extr_2__2026-01-26__2026-01-26	carpio1	run1	CPosCarpio400-1500_26012026	me2_v3v4	mock_extr_2	positive_control	mock_extraction	NA	2026-01-26	NA	2026-01-26	source_label_date	carpio1	NA	NA	NA	NA	NA	NA	NA	NA	mock_extr_2	data/raw_data/mock_extr_2_R1.fastq.gz	data/raw_data/mock_extr_2_R2.fastq.gz
