section	metric	assay_or_comparison	value
descriptive	n_biopsies	pilot	8
descriptive	total_read_pairs	pilot	11815341
descriptive	total_individual_reads_R1_plus_R2	pilot	23630682
descriptive	mean_read_pairs	pilot	1476917.625
descriptive	sd_read_pairs	pilot	258071.928326713
descriptive	median_read_pairs	pilot	1480307
descriptive	q1_read_pairs	pilot	1440636.25
descriptive	q3_read_pairs	pilot	1577261.5
descriptive	min_read_pairs	pilot	937535
descriptive	max_read_pairs	pilot	1844859
descriptive	n_biopsies	current	8
descriptive	total_read_pairs	current	1547556
descriptive	total_individual_reads_R1_plus_R2	current	3095112
descriptive	mean_read_pairs	current	193444.5
descriptive	sd_read_pairs	current	43650.4601906686
descriptive	median_read_pairs	current	195259
descriptive	q1_read_pairs	current	156104.75
descriptive	q3_read_pairs	current	216740.25
descriptive	min_read_pairs	current	141304
descriptive	max_read_pairs	current	260102
paired_descriptive_comparison	all_pairs_pilot_greater_than_current	pilot_vs_current_paired	1
paired_descriptive_comparison	geometric_mean_pilot_to_current_ratio	pilot_vs_current_paired	7.68716594968381
paired_descriptive_comparison	median_pilot_to_current_ratio	pilot_vs_current_paired	7.50855829765484
paired_descriptive_comparison	min_pilot_to_current_ratio	pilot_vs_current_paired	6.33265411261736
paired_descriptive_comparison	max_pilot_to_current_ratio	pilot_vs_current_paired	9.9561920634702
paired_descriptive_comparison	mean_pilot_minus_current_pairs	pilot_vs_current_paired	1283473.125
paired_descriptive_comparison	median_pilot_minus_current_pairs	pilot_vs_current_paired	1302598
