stage	processing_batch	sample_type	read	module	metric	unit	n_libraries	median	p10	p90	minimum	maximum
raw	current	biopsy	R1	Adapter Content	maximum_adapter_content	percent	130	2.151130	0.363060	9.155522	0.083422	13.218834
raw	current	biopsy	R1	Basic Statistics	percent_gc	percent	130	51.000000	50.000000	52.000000	47.000000	56.000000
raw	current	biopsy	R1	Basic Statistics	poor_quality_sequences	reads	130	0.000000	0.000000	0.000000	0.000000	0.000000
raw	current	biopsy	R1	Basic Statistics	total_bases	bases	130	56200000.000000	35320000.000000	76720000.000000	167000.000000	103500000.000000
raw	current	biopsy	R1	Basic Statistics	total_sequences	reads	130	194021.500000	121129.200000	278381.300000	582.000000	358110.000000
raw	current	biopsy	R1	Overrepresented sequences	overrepresented_reads	percent	130	26.242480	12.250860	34.657902	5.997564	100.000000
raw	current	biopsy	R1	Overrepresented sequences	top_overrepresented_sequence	percent	130	2.134005	1.149026	3.783189	0.640994	7.677623
raw	current	biopsy	R1	Per base N content	maximum_n_content	percent	130	1.139844	1.118293	1.201094	0.877193	1.372195
raw	current	biopsy	R1	Per base sequence content	maximum_base_composition_range	percent	130	97.324083	97.067536	97.656623	96.818678	98.657718
raw	current	biopsy	R1	Per base sequence quality	median_mean_base_quality	Phred	130	37.801362	37.194642	38.029269	35.359127	38.179346
raw	current	biopsy	R1	Per base sequence quality	minimum_lower_quartile_base_quality	Phred	130	12.000000	12.000000	12.000000	12.000000	12.000000
raw	current	biopsy	R1	Per base sequence quality	minimum_mean_base_quality	Phred	130	24.741774	24.273050	25.148803	23.821166	25.747798
raw	current	biopsy	R1	Per sequence GC content	gc_content_p10	percent	130	43.000000	40.000000	47.000000	40.000000	50.000000
raw	current	biopsy	R1	Per sequence GC content	gc_content_p90	percent	130	58.000000	56.000000	63.000000	55.000000	64.000000
raw	current	biopsy	R1	Per sequence GC content	mean_gc_content	percent	130	51.998934	50.597861	52.833653	48.121880	56.392207
raw	current	biopsy	R1	Per sequence quality scores	mean_sequence_quality	Phred	130	36.991306	36.513154	37.191524	34.958389	37.320420
raw	current	biopsy	R1	Per sequence quality scores	pct_reads_mean_quality_le_20	percent	130	0.896699	0.687496	1.372957	0.609578	3.624161
raw	current	biopsy	R1	Per sequence quality scores	pct_reads_mean_quality_le_30	percent	130	7.150267	6.492638	8.860125	5.924270	17.718121
raw	current	biopsy	R1	Per tile sequence quality	maximum_tile_mean_deviation	Phred	130	30.453072	29.977923	31.030078	28.739149	31.292930
raw	current	biopsy	R1	Sequence Duplication Levels	deduplicated_reads	percent	130	34.073485	27.270468	47.837226	19.283085	84.697987
raw	current	biopsy	R1	Sequence Duplication Levels	duplicate_reads	percent	130	65.926515	52.162774	72.729532	15.302013	80.716915
raw	current	biopsy	R1	Sequence Duplication Levels	reads_duplication_level_gt_10	percent	130	53.375203	37.479087	61.836405	2.577320	72.208149
raw	current	biopsy	R1	Sequence Length Distribution	maximum_read_length	nt	130	302.000000	302.000000	302.000000	302.000000	302.000000
raw	current	biopsy	R1	Sequence Length Distribution	mean_read_length	nt	130	288.382624	271.188946	297.896376	230.501285	300.027373
raw	current	biopsy	R1	Sequence Length Distribution	median_read_length	nt	130	301.000000	301.000000	301.000000	254.500000	301.000000
raw	current	biopsy	R1	Sequence Length Distribution	minimum_read_length	nt	130	30.000000	30.000000	30.000000	30.000000	30.000000
raw	current	biopsy	R2	Adapter Content	maximum_adapter_content	percent	130	0.607098	0.288066	1.517977	0.160927	2.544278
raw	current	biopsy	R2	Basic Statistics	percent_gc	percent	130	51.000000	50.000000	53.000000	47.000000	55.000000
