stage	processing_batch	sample_type	read	module	n_libraries	n_pass	n_warn	n_fail	pct_pass	pct_warn	pct_fail
raw	current	biopsy	R1	Adapter Content	130	93	28	9	71.538462	21.538462	6.923077
raw	current	biopsy	R1	Basic Statistics	130	130	0	0	100.000000	0.000000	0.000000
raw	current	biopsy	R1	Overrepresented sequences	130	0	10	120	0.000000	7.692308	92.307692
raw	current	biopsy	R1	Per base N content	130	130	0	0	100.000000	0.000000	0.000000
raw	current	biopsy	R1	Per base sequence content	130	0	0	130	0.000000	0.000000	100.000000
raw	current	biopsy	R1	Per base sequence quality	130	0	130	0	0.000000	100.000000	0.000000
raw	current	biopsy	R1	Per sequence GC content	130	0	11	119	0.000000	8.461538	91.538462
raw	current	biopsy	R1	Per sequence quality scores	130	130	0	0	100.000000	0.000000	0.000000
raw	current	biopsy	R1	Per tile sequence quality	130	0	0	130	0.000000	0.000000	100.000000
raw	current	biopsy	R1	Sequence Duplication Levels	130	2	7	121	1.538462	5.384615	93.076923
raw	current	biopsy	R1	Sequence Length Distribution	130	0	130	0	0.000000	100.000000	0.000000
raw	current	biopsy	R2	Adapter Content	130	130	0	0	100.000000	0.000000	0.000000
raw	current	biopsy	R2	Basic Statistics	130	130	0	0	100.000000	0.000000	0.000000
raw	current	biopsy	R2	Overrepresented sequences	130	114	16	0	87.692308	12.307692	0.000000
raw	current	biopsy	R2	Per base N content	130	0	0	130	0.000000	0.000000	100.000000
raw	current	biopsy	R2	Per base sequence content	130	0	0	130	0.000000	0.000000	100.000000
raw	current	biopsy	R2	Per base sequence quality	130	0	0	130	0.000000	0.000000	100.000000
raw	current	biopsy	R2	Per sequence GC content	130	0	0	130	0.000000	0.000000	100.000000
raw	current	biopsy	R2	Per sequence quality scores	130	130	0	0	100.000000	0.000000	0.000000
raw	current	biopsy	R2	Per tile sequence quality	130	0	0	130	0.000000	0.000000	100.000000
raw	current	biopsy	R2	Sequence Duplication Levels	130	130	0	0	100.000000	0.000000	0.000000
raw	current	biopsy	R2	Sequence Length Distribution	130	0	130	0	0.000000	100.000000	0.000000
raw	current	negative_control	R1	Adapter Content	22	22	0	0	100.000000	0.000000	0.000000
